User_ID,Name,Experience Level,Preferred Learning Mode,Area of Interest,Technologies of Interest,Time commitment (hrs/week),Courses Explored,Courses Enrolled,Completion Status,Feedback Rating
101,User_1,Advanced,Self-paced,Data Science,"HTML, CSS, JavaScript",7,Advanced SQL Techniques,Java Basics,Completed,3.4
102,User_2,Intermediate,Instructor-led,Full-Stack Development,"HTML, CSS, JavaScript",8,Java Basics,Java Basics,In Progress,3.4
103,User_3,Advanced,Self-paced,Software Development,"Java, Python",13,Node.js Essentials,"Intro to HTML, CSS",In Progress,3.1
104,User_4,Advanced,Self-paced,Data Science,"Java, Python",20,Intro to HTML,Java Basics,Completed,3.6
105,User_5,Beginner,Self-paced,Front-End Development,"HTML, CSS, JavaScript",13,Data Science with Python,Java Basics,Completed,3.3
106,User_6,Advanced,Hybrid,Front-End Development,"Python, R, SQL",11,Advanced SQL Techniques,JavaScript Essentials,In Progress,3.7
107,User_7,Advanced,Self-paced,Front-End Development,"Python, R, SQL",12,CSS Basics,"Intro to HTML, CSS",In Progress,3.8
108,User_8,Intermediate,Hybrid,Data Science,"Java, Python",17,CSS Basics,JavaScript Essentials,In Progress,3.0
109,User_9,Advanced,Self-paced,Front-End Development,"JavaScript, Node.js, React",14,Intro to HTML,Full-Stack fundamentals,In Progress,3.5
110,User_10,Advanced,Self-paced,Front-End Development,"HTML, CSS, JavaScript",20,Advanced SQL Techniques,JavaScript Essentials,Completed,4.6
111,User_11,Advanced,Instructor-led,Software Development,"HTML, CSS, JavaScript",13,Java Basics,"Intro to HTML, CSS",Completed,4.7
112,User_12,Advanced,Hybrid,Data Science,"Python, R, SQL",18,CSS Basics,Full-Stack fundamentals,Completed,3.9
113,User_13,Beginner,Self-paced,Front-End Development,"HTML, CSS, JavaScript",9,Intro to HTML,JavaScript Essentials,In Progress,3.6
114,User_14,Intermediate,Hybrid,Software Development,"JavaScript, Node.js, React",20,Advanced SQL Techniques,JavaScript Essentials,In Progress,4.6
115,User_15,Intermediate,Hybrid,Front-End Development,"Java, Python",12,Python for Beginners,"Intro to HTML, CSS",In Progress,3.2
116,User_16,Intermediate,Hybrid,Software Development,"JavaScript, Node.js, React",9,Java Basics,JavaScript Essentials,In Progress,3.3
117,User_17,Advanced,Instructor-led,Front-End Development,"HTML, CSS, JavaScript",9,Data Science with Python,Data Science with Python,In Progress,4.8
118,User_18,Intermediate,Hybrid,Full-Stack Development,"Java, Python",7,Node.js Essentials,Full-Stack fundamentals,Completed,5.0
119,User_19,Advanced,Hybrid,Data Science,"Java, Python",18,Full-Stack fundamentals,Data Science with Python,Completed,4.0
120,User_20,Intermediate,Hybrid,Data Science,"Java, Python",11,Java Basics,"Intro to HTML, CSS",Completed,4.4
121,User_21,Advanced,Instructor-led,Software Development,"Python, R, SQL",6,Full-Stack fundamentals,Data Science with Python,Completed,3.9
